ja,zh
お布団の外には……\n何があるんだろう……,Beyond this bed……\nI wonder what lies ahead……
その調子よ！　プロデューサー\n次のレッスンまでは少し時間があるみたいだし……\n一緒に走りに行きましょう！,その調子よ！　プロデューサー\n次のレッスンまでは少し時間があるみたいだし……\n一緒に走りに行きましょう！
ふぇ……！\n仕方なかけん……100倍やらんばね！,ふぇ……！\n仕方なかけん……100倍やらんばね！
まだまだ私と、夏しましょう！\nチョコが溶けちゃうくらい\n盛り上がって～～！,まだまだ私と、夏しましょう！\nチョコが溶けちゃうくらい\n盛り上がって～～！
もっと頑張らないと……ダメだ……！,もっと頑張らないと……ダメだ……！
アンティーカの物語を\n見せてあげましょうかねー,アンティーカの物語を\n見せてあげましょうかねー
スウィングしなきゃ……\n意味が……ないから……──,スウィングしなきゃ……\n意味が……ないから……──
ツナ缶さんと……コーンさんと……コンビーフさんと……輪になって……,ツナ缶さんと……コーンさんと……コンビーフさんと……輪になって……
ファンのみんなに、気持ち……届いたねっ……！,ファンのみんなに、気持ち……届いたねっ……！
プリンと……チョコプリン……\nあうう、選べない……\n……プロデューサーさん……どっちかしか……だめ？,"Pudding……Choco pudding……\nAh, Tenka can't choose……\n……Producer-san……which one……to choose？"
プロデューサーさんはどのお菓子にしますか？\nいっぱいありますよ！,プロデューサーさんはどのお菓子にしますか？\nいっぱいありますよ！
三峰の好きなもの──よりもさ、三峰としては、\nＰたんの好きなものの話の方が気になっちゃうなーなんて！\nふふ、誤魔化してはないよぉ。話したいのは本当だもん,三峰の好きなもの──よりもさ、三峰としては、\nＰたんの好きなものの話の方が気になっちゃうなーなんて！\nふふ、誤魔化してはないよぉ。話したいのは本当だもん
割と、髪下ろすと印象変わるねって言われるんですが……\nどうでしょうか？　えへへ……,割と、髪下ろすと印象変わるねって言われるんですが……\nどうでしょうか？　えへへ……
十三夜の……月よ……\n叶うなら……\n叶うなら……──,十三夜の……月よ……\n叶うなら……\n叶うなら……──
嬉しいわ！\nでも……もっともっと上を目指していくわ！,嬉しいわ！\nでも……もっともっと上を目指していくわ！
甘奈の写真、ツイスタにアップしたいんだ～\nプロデューサーさんはどれがいいと思う？\n一緒に選んでくれたら嬉しいなっ☆,甘奈の写真、ツイスタにアップしたいんだ～\nプロデューサーさんはどれがいいと思う？\n一緒に選んでくれたら嬉しいなっ☆
私のチョコはいつだってとって\nおきです！　よろしくお味見い\nかがでしょうか！,私のチョコはいつだってとって\nおきです！　よろしくお味見い\nかがでしょうか！
絶対に諦めないわ！\n練習あるのみよ……！,絶対に諦めないわ！\n練習あるのみよ……！
──私たちの世界へようこそ\n歓迎するよ、お客人,──私たちの世界へようこそ\n歓迎するよ、お客人
いつも頑張る我らがＰたんに朗報！\n──三峰はぁ、Ｐたんにちょっかいかけてもらうの、\nそんなに嫌いじゃないようです！　……えへへ,いつも頑張る我らがＰたんに朗報！\n──三峰はぁ、Ｐたんにちょっかいかけてもらうの、\nそんなに嫌いじゃないようです！　……えへへ
え～！　お昼買ってくるの忘れちゃったの！？\nそれじゃ、甘奈、今日はお弁当持って来てるから\nわけてあげるっ！,え～！　お昼買ってくるの忘れちゃったの！？\nそれじゃ、甘奈、今日はお弁当持って来てるから\nわけてあげるっ！
ひとり、アナタのことを想う。……とても幸せな時間だ\nけれど、アナタと語らうひと時には敵わない\nだから……さあ、私と話をしないかい？,ひとり、アナタのことを想う。……とても幸せな時間だ\nけれど、アナタと語らうひと時には敵わない\nだから……さあ、私と話をしないかい？
